Country,Code,Year,Internet Users
China,CHN,2016,746662194
India,IND,2016,391255067
United States of America,USA,2016,245425910
Sub-Saharan Africa,,2016,197652432
Brazil,BRA,2016,126403573
Japan,JPN,2016,119039541
Russia,RUS,2016,105225728
Mexico,MEX,2016,75938137
Germany,DEU,2016,73434128
Indonesia,IDN,2016,66453884
